ANIMAL_FLAG,CRASH_SEVERITY,CROSS_STREET_FULL_NAME,CYCLIST_FLAG,DATE_OF_LOSS_YEAR,DAY_OF_WEEK,DERIVED_CRASH_CONFIGURATION,HEAVY_VEH_FLAG,INTERSECTION_CRASH,LATITUDE,LONGITUDE,MID_BLOCK_CRASH,MONTH_OF_YEAR,MOTORCYCLE_FLAG,Municipality Name (ifnull),MUNICIPALITY_NAME,MUNICIPALITY_WITH_BOUNDARY,PARKED_VEHICLE_FLAG,PARKING_LOT_FLAG,PEDESTRIAN_FLAG,REGION,ROAD_LOCATION_DESCRIPTION,Street Full Name (ifnull),STREET_FULL_NAME,TIME_CATEGORY,TOTAL_CRASHES,TOTAL_VICTIMS
N,CASUALTY CRASH,DEWDNEY TRUNK RD,N,2023,SATURDAY,SIDE IMPACT,N,Y,49.220568,-122.62428,N,JUNE,N,MAPLE RIDGE,MAPLE RIDGE,MAPLE RIDGE,N,N,N,LOWER MAINLAND,ASHBURY CRT & DEWDNEY TRUNK RD,ASHBURY CRT,ASHBURY CRT,12:00-14:59,1,1
N,CASUALTY CRASH,E 33RD AVE,N,2023,SATURDAY,REAR END,N,Y,49.240264,-123.084582,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,E 33RD AVE & WINDSOR ST,WINDSOR ST,WINDSOR ST,12:00-14:59,1,1
N,CASUALTY CRASH,E 49TH AVE,N,2023,SATURDAY,SIDE SWIPE - SAME DIRECTION,N,Y,49.225479,-123.091985,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,E 49TH AVE & FREDERICK ST,FREDERICK ST,FREDERICK ST,12:00-14:59,1,1
N,CASUALTY CRASH,E 53RD AVE,N,2023,SATURDAY,SIDE IMPACT,N,Y,49.221799,-123.077478,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,E 53RD AVE & KNIGHT ST,KNIGHT ST,KNIGHT ST,12:00-14:59,1,2
N,CASUALTY CRASH,E BROADWAY,N,2023,SATURDAY,SIDE IMPACT,N,Y,49.262392,-123.077552,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,N,N,N,LOWER MAINLAND,CLARK DR & E BROADWAY,CLARK DR,CLARK DR,12:00-14:59,1,2
N,CASUALTY CRASH,ECKHARDT AVE W,N,2023,SATURDAY,SIDE SWIPE - SAME DIRECTION,N,Y,49.492267,-119.597525,N,JUNE,N,PENTICTON,PENTICTON,PENTICTON,Y,N,N,SOUTHERN INTERIOR,ECKHARDT AVE W & MOOSEJAW ST,MOOSEJAW ST,MOOSEJAW ST,12:00-14:59,1,1
N,CASUALTY CRASH,ELWELL ST,N,2023,SATURDAY,SIDE IMPACT,N,Y,49.226613,-122.944108,N,JUNE,N,BURNABY,BURNABY,BURNABY,N,N,N,LOWER MAINLAND,CANADA WAY & ELWELL ST,CANADA WAY,CANADA WAY,12:00-14:59,1,3
N,CASUALTY CRASH,FRASER HWY,Y,2023,SATURDAY,SINGLE VEHICLE,N,Y,49.176537,-122.828469,N,JUNE,N,SURREY,SURREY,SURREY,N,N,N,LOWER MAINLAND,96 AVE & FRASER HWY & GREEN TIMBERS GREENWAY & TURNING LANE,96 AVE,96 AVE,12:00-14:59,1,2
N,CASUALTY CRASH,GLOVER RD OFFRAMP,N,2023,SATURDAY,REAR END,N,Y,49.114731,-122.640325,N,JUNE,N,LANGLEY,LANGLEY,LANGLEY,N,N,N,LOWER MAINLAND,GLOVER RD & GLOVER RD OFFRAMP,HWY 10,HWY 10,12:00-14:59,1,1
N,CASUALTY CRASH,GREEN AVE W,N,2023,SATURDAY,SIDE IMPACT,N,Y,49.463261,-119.587897,N,JUNE,N,PENTICTON,PENTICTON,PENTICTON,N,N,N,SOUTHERN INTERIOR,GREEN AVE W & SKAHA LAKE RD,SKAHA LAKE RD,SKAHA LAKE RD,12:00-14:59,1,2
